Univers,Année,Part
Petit écran,1973,53
Bain audiovisuel,1973,2
Tout-numérique,1973,0
Culture patrimoniale,1973,36
Eclectisme classique,1973,9
Eclectisme augmenté,1973,0
Petit écran,1981,52
Bain audiovisuel,1981,4
Tout-numérique,1981,0
Culture patrimoniale,1981,34
Eclectisme classique,1981,10
Eclectisme augmenté,1981,0
Petit écran,1988,52
Bain audiovisuel,1988,4
Tout-numérique,1988,0
Culture patrimoniale,1988,32
Eclectisme classique,1988,11
Eclectisme augmenté,1988,0
Petit écran,1997,47
Bain audiovisuel,1997,10
Tout-numérique,1997,0
Culture patrimoniale,1997,30
Eclectisme classique,1997,13
Eclectisme augmenté,1997,0
Petit écran,2008,45
Bain audiovisuel,2008,18
Tout-numérique,2008,1
Culture patrimoniale,2008,23
Eclectisme classique,2008,12
Eclectisme augmenté,2008,1
Petit écran,2018,30
Bain audiovisuel,2018,22
Tout-numérique,2018,15
Culture patrimoniale,2018,15
Eclectisme classique,2018,9
Eclectisme augmenté,2018,9
